postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,342,18872,900.5,60,6,27/06/2022,2022-06-28
3001,0,0,0,0,0,0,27/06/2022,2022-06-28
3002,4957,40,1697,806.9,7,6,27/06/2022,2022-06-28
3003,5516,73,3483,1323.4,18,7,27/06/2022,2022-06-28
3004,9311,77,4222,827,14,6,27/06/2022,2022-06-28
3005,523,0,0,0,0,0,27/06/2022,2022-06-28
3006,18811,182,8676,967.5,39,6,27/06/2022,2022-06-28
3008,10438,111,4899,1063.4,17,7,27/06/2022,2022-06-28
3010,1595,0,4,0,0,0,27/06/2022,2022-06-28
3011,21464,165,8733,768.7,31,6,27/06/2022,2022-06-28
3012,26295,212,10326,806.2,37,6,27/06/2022,2022-06-28
3013,14967,130,5905,868.6,28,6,27/06/2022,2022-06-28
3015,17472,125,6704,715.4,17,6,27/06/2022,2022-06-28
3016,15558,118,5310,758.5,13,6,27/06/2022,2022-06-28
3018,12685,93,3969,733.1,14,6,27/06/2022,2022-06-28
3019,9199,46,3356,500.1,9,6,27/06/2022,2022-06-28
3020,44784,195,14645,435.4,35,5,27/06/2022,2022-06-28
3021,54190,158,16334,291.6,33,5,27/06/2022,2022-06-28
3022,3102,18,1135,580.3,3,6,27/06/2022,2022-06-28
3023,63974,315,23894,492.4,64,5,27/06/2022,2022-06-28
3024,23852,209,11761,876.2,38,6,27/06/2022,2022-06-28
3025,12155,70,4655,575.9,11,6,27/06/2022,2022-06-28
3026,72,46,3295,63888.9,6,7,27/06/2022,2022-06-28
3027,6650,46,3159,691.7,9,6,27/06/2022,2022-06-28
3028,29198,186,8943,637,24,6,27/06/2022,2022-06-28
3029,93946,678,42534,721.7,119,6,27/06/2022,2022-06-28
3030,100311,775,38624,772.6,121,6,27/06/2022,2022-06-28
3031,18533,163,6753,879.5,23,6,27/06/2022,2022-06-28
3032,29449,210,10944,713.1,31,6,27/06/2022,2022-06-28
3033,14512,63,5007,434.1,13,5,27/06/2022,2022-06-28
3034,11633,66,4251,567.4,10,6,27/06/2022,2022-06-28
3036,5921,14,1937,236.4,3,5,27/06/2022,2022-06-28
3037,51156,268,18681,523.9,46,6,27/06/2022,2022-06-28
3038,27258,124,8940,454.9,26,5,27/06/2022,2022-06-28
3039,14252,130,5897,912.2,13,6,27/06/2022,2022-06-28
3040,25939,186,9624,717.1,30,6,27/06/2022,2022-06-28
